,FB_onset,RT,Resp,correct,schema_category,slime_color,slime_speed,slime_spiky,stim_onset,subj_ID,trial
0,1543610620.803258,7.434039831161499,2,1,0,0.2946035802658328,0.6032243343728015,0.0,1543610613.369218,4,1
1,1543610629.442146,1.4688100814819336,1,1,1,0.42386485319175105,0.8802504736669062,0.8632976988135254,1543610627.973336,4,2
2,1543610637.863562,1.254817008972168,1,0,0,0.751,0.6105443916759724,0.3787893949288164,1543610636.608745,4,3
3,1543610645.552025,0.5363061428070068,2,1,0,0.7330536864856653,0.21435035095729404,0.849285724481015,1543610645.015719,4,4
4,1543610653.603923,0.8878071308135986,1,1,1,0.06490183112306513,0.7566788406770557,0.6569445474552692,1543610652.716116,4,5
5,1543610661.372949,0.5995509624481201,2,0,1,0.75,0.30990493487997517,0.29553084017961717,1543610660.773398,4,6
6,1543610669.310164,0.7677328586578369,1,1,1,0.946620883539572,0.6896990434404708,0.42235208261899454,1543610668.542431,4,7
7,1543610676.515546,0.036669015884399414,2,1,0,0.751,0.39619920522302676,0.7338239087870324,1543610676.478877,4,8
8,1543610684.370565,0.6880149841308594,2,1,0,0.751,0.1960876302526967,0.23754355011066874,1543610683.68255,4,9
9,1543610692.95617,1.4176750183105469,1,0,0,0.39609601504256164,0.7152460080117423,0.4954637802891898,1543610691.538495,4,10
10,1543610700.811238,0.6878001689910889,2,1,0,0.751,0.5013892772977744,0.43059099334661066,1543610700.123438,4,11
11,1543610708.465737,0.4852011203765869,2,0,1,0.75,0.22222505657817282,0.46325792080840833,1543610707.980536,4,12
12,1543610718.886935,3.2546498775482178,1,1,1,0.27242760831149204,0.14893201842048875,0.7106709112647985,1543610715.632285,4,13
13,1543610734.029093,7.973035097122192,2,1,0,0.886919746750338,0.4857840098127233,0.0,1543610726.056058,4,14
14,1543610741.247836,0.050846099853515625,2,1,0,0.939233886444161,0.7840457314767608,0.0,1543610741.19699,4,15
15,1543610749.000883,0.6018869876861572,1,1,1,0.5078689341222501,0.4520518634914865,0.9924572268291134,1543610748.398996,4,16
16,1543610772.415292,16.244049072265625,2,1,0,0.37558192802877455,0.38525746040861086,0.25735282865975045,1543610756.171243,4,17
17,1543610782.387039,2.8214080333709717,2,1,0,0.1869721486235988,0.49280947266582764,0.13476790524170126,1543610779.565631,4,18
18,1543610790.27291,0.717703104019165,2,1,0,0.3356504202803946,0.7261655639161821,0.2364093568853513,1543610789.555207,4,19
19,1543610798.025931,0.5857598781585693,1,0,0,0.7254571312941479,0.47258566378989275,0.5255209011601021,1543610797.440171,4,20
20,1543610805.8793,0.6844620704650879,1,0,0,0.6379767364270587,0.9475266453181632,0.18182641041601516,1543610805.194838,4,21
21,1543610814.969876,1.9375500679016113,1,1,1,0.2145222352173669,0.13894042446872013,1.0,1543610813.032326,4,22
22,1543610822.286495,0.14871788024902344,2,0,1,0.24135451489075754,0.8645243016961808,1.0,1543610822.137777,4,23
23,1543610830.191325,0.7336230278015137,1,0,0,0.6041427808388123,0.3194350927466062,0.25749868970951506,1543610829.457702,4,24
24,1543610837.795066,0.43485116958618164,2,1,0,0.1399327383126167,0.8866055776421652,0.005907389643393823,1543610837.360215,4,25
25,1543610845.665512,0.7164320945739746,2,0,1,0.04249528929804397,0.7805974239674874,0.4775522738637719,1543610844.94908,4,26
26,1543610853.374007,0.5397250652313232,2,1,0,0.23979984728332182,0.1996581582973842,0.0,1543610852.834282,4,27
27,1543610861.756589,1.2183949947357178,2,1,0,0.751,0.7518462089723442,0.6084886105530039,1543610860.538194,4,28
28,1543610869.962423,1.0360000133514404,2,1,0,0.020338303971635607,0.1578170927761905,0.0,1543610868.926423,4,29
29,1543610877.534375,0.4186818599700928,1,0,0,0.3946105592638437,0.9494956704049623,0.0,1543610877.115693,4,30
30,1543610885.302444,0.6006720066070557,1,0,0,0.6343090176576787,0.5001991938818241,0.47970196591474246,1543610884.701772,4,31
31,1543610893.207759,0.7361857891082764,1,0,0,0.36299021795986963,0.5308315601277649,0.4645837271758123,1543610892.471573,4,32
32,1543610901.094855,0.7183501720428467,1,0,0,0.20311583046676818,0.03739290337453416,0.255339866990279,1543610900.376505,4,33
33,1543610908.998862,0.7356419563293457,1,0,0,0.5545608149212293,0.22960908395928392,0.6198037226138823,1543610908.26322,4,34
34,1543610916.535468,0.368239164352417,2,1,0,0.5381919817237103,0.846566811240727,0.3385302582760727,1543610916.167229,4,35
35,1543610924.606831,0.903886079788208,1,0,0,0.6594025695458617,0.9500032101764158,0.49530738054402085,1543610923.702945,4,36
36,1543610932.180116,0.40409183502197266,2,1,0,0.751,0.3782639127732075,0.23745226181626344,1543610931.776024,4,37
37,1543610943.84885,4.502976894378662,1,1,1,0.456676138606536,0.25613699054070993,1.0,1543610939.345873,4,38
38,1543610952.672121,1.6530580520629883,2,1,0,0.49649623076433913,0.34528213902655913,0.546999202151359,1543610951.019063,4,39
39,1543610960.689891,0.8516499996185303,2,0,1,0.7862072302816403,0.5332547214524286,0.3246159173895626,1543610959.838241,4,40
40,1543610968.445293,0.5872728824615479,1,1,1,0.8290780192942899,0.8888833944649508,0.8645008638249423,1543610967.85802,4,41
41,1543610976.00081,0.38850998878479004,2,0,1,0.05332714394159643,0.8366939037005778,0.7514828030565672,1543610975.6123,4,42
42,1543610984.937429,1.7687630653381348,1,1,1,0.23575398614292448,0.370187574754014,1.0,1543610983.168666,4,43
43,1543610993.10696,1.0009679794311523,2,1,0,0.23894926508507658,0.05043816868255213,0.0,1543610992.105992,4,44
44,1543611010.618774,10.342784881591797,1,1,1,0.48817937935746347,0.30532580871357884,0.8643257522030148,1543611000.275989,4,45
45,1543611018.686805,0.9022529125213623,2,1,0,0.23607077873203053,0.6897276913656364,0.0,1543611017.784552,4,46
46,1543611028.925754,3.069988965988159,1,1,1,0.75,0.7119231464107662,0.391342673928933,1543611025.855765,4,47
47,1543611036.711337,0.6181831359863281,2,1,0,0.6297785354728936,0.8189734626222067,0.6937638108592052,1543611036.093154,4,48
48,1543611045.315503,1.4497878551483154,2,1,0,0.36261994252548113,0.12845589406652969,0.06965579704134739,1543611043.865715,4,49
