,FB_onset,RT,Resp,correct,schema_category,slime_color,slime_speed,slime_spiky,stim_onset,subj_ID,trial
0,1544038007.206134,10.964457035064697,2,0,1,0.6986454959837027,0.18764513232910718,0.8340306484918173,1544037996.241677,5,1
1,1544038015.923617,1.5503838062286377,1,1,1,0.751,0.09554705744169323,0.3222623080467284,1544038014.373233,5,2
2,1544038023.171885,0.08196496963500977,2,1,0,0.75,0.9411619590747068,0.30292482133839804,1544038023.08992,5,3
3,1544038030.472105,0.13254094123840332,1,1,1,0.751,0.592281420511292,0.5614419731922385,1544038030.339564,5,4
4,1544038037.805406,0.16555213928222656,1,1,1,0.751,0.5226646566678395,0.881316603207978,1544038037.639854,5,5
5,1544038046.191046,1.2335960865020752,2,0,1,0.2905648620702067,0.4510862565671778,0.0,1544038044.95745,5,6
6,1544038069.806528,16.448692083358765,1,1,1,0.751,0.9017037192347923,0.6245541112365662,1544038053.357836,5,7
7,1544038078.22452,1.2507128715515137,1,1,1,0.24661817616353726,0.876324225736851,0.01502236963329645,1544038076.973807,5,8
8,1544038110.77517,25.382840156555176,2,1,0,0.14421459594623154,0.009071384541036287,0.5248961111821094,1544038085.39233,5,9
9,1544038119.360476,1.4173030853271484,1,0,0,0.027880834355868744,0.371827021896727,0.8623397527905646,1544038117.943173,5,10
10,1544038128.809586,2.282789945602417,2,1,0,0.2693021194176849,0.9599293503115878,1.0,1544038126.526796,5,11
11,1544038136.925971,0.9490890502929688,1,1,1,0.7430180386493538,0.8368439780953056,0.24289627924177332,1544038135.976882,5,12
12,1544038145.24337,1.1495180130004883,2,0,1,0.679260280485768,0.6948474684135655,0.5211542172827377,1544038144.093852,5,13
13,1544038153.4777,1.0669379234313965,2,1,0,0.75,0.6543908375310309,0.12848390537431215,1544038152.410762,5,14
14,1544038173.760766,13.116925954818726,2,0,1,0.9087170850349094,0.9683636773711738,0.0,1544038160.64384,5,15
15,1544038181.977483,1.049746036529541,1,0,0,0.8530325720307613,0.1908296728889911,0.40109544138626985,1544038180.927737,5,16
16,1544038196.411704,7.266554117202759,2,0,1,0.5458845958595622,0.014236847509985995,0.5122954909917637,1544038189.14515,5,17
17,1544038430.819097,227.24063205718994,2,0,1,0.10197553815556532,0.6295287172186104,0.0,1544038203.578465,5,18
18,1544038440.302488,2.316089153289795,1,1,1,0.9202004853092756,0.011488568975511315,0.0,1544038437.986399,5,19
19,1544038520.355867,72.88579082489014,1,1,1,0.21146527898329148,0.008623252808910298,0.31801546552904814,1544038447.470076,5,20
